clustering_model,dim_red_model,d,k,time,ARI,RI
BMM,PCA,2,5,0.02290654182434082,0.16066822314637294,0.7239390612825585
BMM,PCA,64,5,0.06582498550415039,0.23043783749973346,0.7941054929386417
BMM,PCA,128,5,0.19846892356872559,0.21775922229557437,0.7942458683877643
BMM,NoDR,256,5,0.08676910400390625,0.25259485262434656,0.7994839230679449
BMM,PCA,2,6,0.04089021682739258,0.17129613302052288,0.759160680994426
BMM,PCA,64,6,0.07878994941711426,0.27098739119686116,0.8226411404164576
BMM,PCA,128,6,0.14561152458190918,0.22844133904735064,0.817041894973928
BMM,NoDR,256,6,0.33809638023376465,0.3068140017916137,0.835875863939913
BMM,PCA,2,7,0.033908843994140625,0.17057633135391248,0.7677227947647843
BMM,PCA,64,7,0.06781840324401855,0.2711332631517589,0.8402842839432568
BMM,PCA,128,7,0.20046424865722656,0.2694826085247555,0.8424498512651141
BMM,NoDR,256,7,0.1266617774963379,0.34044457929346245,0.8405066765087206
BMM,PCA,2,8,0.025929927825927734,0.1753825870661932,0.7656960256398123
BMM,PCA,64,8,0.08577132225036621,0.2723770317013597,0.8515994914938787
BMM,PCA,128,8,0.18151545524597168,0.2731190067694968,0.8537098549874294
BMM,NoDR,256,8,0.2014603614807129,0.3503952608068564,0.8629872526474179
BMM,PCA,2,9,0.04488039016723633,0.17158731554023185,0.7587214162463289
BMM,PCA,64,9,0.07480001449584961,0.3338846581130577,0.8715225531297416
BMM,PCA,128,9,0.17653179168701172,0.3041277189359048,0.8681219973060532
BMM,NoDR,256,9,0.1685488224029541,0.41090160278447735,0.8843842564990678
BMM,PCA,2,10,0.031916141510009766,0.17384110579160167,0.7602458305337106
BMM,PCA,64,10,0.07779192924499512,0.35449543828298546,0.8818645960499295
BMM,PCA,128,10,0.23936080932617188,0.3301114855492186,0.8777503335888482
BMM,NoDR,256,10,0.2652921676635742,0.4580882317436223,0.9009130713201917
BMM,PCA,2,11,0.037897348403930664,0.18332900256120116,0.78960716955777
BMM,PCA,64,11,0.09369802474975586,0.34867050839110875,0.8857911654947682
BMM,PCA,128,11,0.23138117790222168,0.3108331841723837,0.8786462128596529
BMM,NoDR,256,11,0.15159392356872559,0.46381840925579804,0.9058766841110764
BMM,PCA,2,12,0.05285811424255371,0.18283537100114913,0.7902554202273135
BMM,PCA,64,12,0.0967414379119873,0.29609708041671584,0.8815901541606337
BMM,PCA,128,12,0.1486034393310547,0.299860812504551,0.8815270640711403
BMM,NoDR,256,12,0.27426648139953613,0.4342141465295997,0.9051203916632756
BMM,PCA,2,13,0.04488062858581543,0.17627316886204877,0.7668348017551663
BMM,PCA,64,13,0.08976078033447266,0.2916833278737693,0.8849055383635062
BMM,PCA,128,13,0.16356229782104492,0.3614369083023998,0.8955180800423965
BMM,NoDR,256,13,0.2702775001525879,0.4254272053793746,0.9066637329775052
BMM,PCA,2,14,0.03989362716674805,0.1859719034132237,0.794860996760324
BMM,PCA,64,14,0.11269831657409668,0.3565172652337082,0.897775127994019
BMM,PCA,128,14,0.2124311923980713,0.35559793872427375,0.8982609216831174
BMM,NoDR,256,14,0.22639679908752441,0.42908438579631253,0.9092780285608835
BMM,PCA,2,15,0.04288458824157715,0.18274486192569503,0.7995635743059302
BMM,PCA,64,15,0.12067747116088867,0.36091318525247407,0.9009682751484983
BMM,PCA,128,15,0.1795215606689453,0.37023528367522196,0.902879904860145
BMM,NoDR,256,15,0.20644903182983398,0.4144272699972217,0.9088781951187198
